"X","Barri","Area","Habitacions","Lavabos","Preu","Immobiliaria","ConsumoEtiqueta","ConsumokW","EmisionesEtiqueta","Emisioneskg","Data.anunci","Aire_acondicionat","Moblat","Any_construccio","Calefaccio","Transport_public_proper","Llar_de_foc","Obra_nova","Piscina_propia","Plaza_parking","Ascensor","Equipamient_esportiu","Jardi_comunitari","Piscina_comunitaria","Vigilancia","Districte","Preu_m2"
178,"Trinitat Nova",65,3,1,149000,"FINCAS SABADELL","F",202,"G",52,2022-04-07,"No","No",1962,"No","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",2292.30769230769
182,"Navas",78,4,1,280000,"HOMIM","G",244,"F",51,2022-03-31,"No","No",1964,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3589.74358974359
183,"Sarrià",90,3,1,449000,"GEINBAR","E",151,"E",27,2022-03-01,"Yes","No",1963,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sarria Sant Gervasi",4988.88888888889
184,"Horta",90,4,2,529000,"ENTRE SUELOS","G",999,"G",999,2022-04-05,"Yes","No",2006,"Yes","No","No","No","No","No","Yes","No","No","Yes","No","Horta Guinardo",5877.77777777778
185,"Vilapicina - Torre Llobeta",58,3,1,169000,"FINQUES LEMI","E",183,"E",38,2022-03-31,"No","No",1963,"Yes","No","No","No","No","No","Yes","No","No","No","No","Nou Barris",2913.79310344828
188,"Camp de l´Arpa",114,3,3,630000,"BUSQUETS GALVEZ","G",999,"G",999,2022-01-31,"Yes","No",2022,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",5526.31578947368
191,"El Clot",75,2,2,378000,"COLIBREE","B",29,"B",29,2022-03-22,"Yes","No",2022,"No","No","No","No","No","No","Yes","No","No","No","No","Sant Marti",5040
194,"Sagrada Família",73,3,1,310000,"hooli HOME","F",219,"E",37,2022-02-15,"Yes","No",1966,"Yes","No","No","No","No","No","Yes","No","No","No","No","Eixample",4246.57534246575
195,"Raval",48,2,2,159900,"FINCAS GP","G",263,"F",52,2022-03-29,"No","No",1900,"No","No","No","No","No","No","No","No","No","No","No","Ciutat Vella",3331.25
196,"Sant Ramon - Maternitat",133,3,3,740000,"APROPERTIES REAL ESTATE BARCELONA Nº Aicat 6388","E",100,"E",10,2022-04-06,"Yes","No",1969,"Yes","No","No","No","No","No","Yes","No","No","No","No","Les Corts",5563.90977443609
197,"Bon Pastor",90,3,2,349990,"SI REAL ESTATE","G",262,"F",55,2022-04-04,"No","No",2004,"Yes","No","No","No","No","No","Yes","No","No","No","No","Sant Andreu",3888.77777777778
