,Barri,Area,Habitacions,Lavabos,Preu,Immobiliaria,ConsumoEtiqueta,ConsumokW,EmisionesEtiqueta,Emisioneskg,Data anunci,Aire_acondicionat,Moblat,Any_construccio,Calefaccio,Transport_public_proper,Llar_de_foc,Obra_nova,Piscina_propia,Plaza_parking,Ascensor,Equipamient_esportiu,Jardi_comunitari,Piscina_comunitaria,Vigilancia,Districte
11624,Hostafrancs,109,3,2,395000.0,Euro House Fincas,E,121.0,E,25.0,08/04/2022,1,0,1979,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
11625,Raval,39,2,1,140000.0,BC 91,E,176.0,E,31.0,14/01/2022,1,0,1900,0,1,0,0,0,0,0,0,0,0,0,Ciutat Vella
11626,Roquetes,66,2,1,109000.0,Quality Houses,E,999.0,E,999.0,04/02/2022,0,0,1966,1,1,0,0,0,0,0,0,0,0,0,Nou Barris
11629,La Marina-Montjuïc,75,3,1,175000.0,SIMURBA,G,289.0,F,51.0,08/02/2022,0,0,1972,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
11630,Prosperitat,50,2,1,186000.0,Assessoria VIA JULIA des de 1963,E,212.0,E,38.0,08/04/2022,1,0,1975,0,1,0,0,0,0,1,0,0,0,0,Nou Barris
11631,Sants,81,2,1,395000.0,Fincas Eva,E,117.0,E,29.0,09/04/2022,1,1,2008,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
11632,Turó de la Peira - Can Peguera,60,3,1,120000.0,SIMURBA,E,125.0,E,31.0,21/03/2022,0,0,1955,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
11633,Vilapicina - Torre Llobeta,83,3,2,240000.0,Punto Badal-Bcn,E,121.0,E,45.0,23/02/2022,1,0,1966,0,1,0,0,0,0,1,0,0,0,1,Nou Barris
11634,Prosperitat,50,2,1,186000.0,Assessoria VIA JULIA des de 1963,E,212.0,E,38.0,08/04/2022,1,0,1975,0,1,0,0,0,0,1,0,0,0,0,Nou Barris
11635,La Guineueta,94,3,1,280000.0,Assessoria VIA JULIA des de 1963,F,224.0,E,47.0,08/04/2022,0,0,1968,1,1,0,0,0,0,1,0,0,0,0,Nou Barris
11636,Camp de l´Arpa,85,3,1,395000.0,donpiso  Bcn Rogent,E,105.0,E,22.0,09/04/2022,1,0,1976,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
11637,Putget - Farró,258,5,3,1195000.0,Galería de Inmuebles,E,171.0,E,36.0,05/01/2022,0,0,1945,1,1,1,0,0,0,1,0,0,0,1,Sarria Sant Gervasi
11638,Dreta de l´Eixample,85,2,2,556900.0,Immobiliària Barcelona ®,E,114.0,E,24.0,08/04/2022,1,0,1936,1,1,0,0,0,0,1,0,0,0,0,Eixample
11639,Gòtic,53,1,1,220000.0,SIMURBA,E,146.0,E,37.0,18/02/2022,0,0,1910,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
11642,La Marina-Montjuïc,68,3,1,198000.0,DAURUM ESTATE,G,999.0,G,999.0,26/01/2022,0,0,1967,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
11644,Diagonal Mar - La Mar Bella,94,3,1,280000.0,GRUPO-INMOFINANCE,G,999.0,G,999.0,13/01/2022,0,0,1950,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
11645,Sants,68,2,1,340000.0,Mashabitat,F,218.0,E,42.0,12/11/2021,1,0,1922,1,1,0,0,0,0,0,0,0,0,0,Sants Montjuic
11646,La Salut,65,2,1,292000.0,Assessors Immobiliaris Algi,E,152.0,E,32.0,18/02/2022,0,0,1964,1,1,0,0,0,0,1,0,0,0,0,Gracia
11647,Poble Sec,60,2,1,349000.0,Bergua Gestió Immobles,E,136.0,E,35.0,25/02/2022,1,0,1872,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
11648,La Verneda - La Pau,128,4,2,300000.0,Lacasa Agency Hospitalet 3,E,129.0,E,29.0,10/02/2022,0,1,1963,0,1,0,0,0,0,1,0,0,0,0,Sant Marti
11649,Sagrada Família,104,4,2,366000.0,SIMURBA,E,151.0,E,31.0,08/02/2022,0,0,1978,0,0,0,0,0,0,1,0,0,0,0,Eixample
11653,Camp d´en Grassot - Gràcia N.,90,3,1,368000.0,Carlos Torrico - Monapart,G,176.0,G,31.0,05/04/2022,1,0,1940,1,0,0,0,0,0,1,0,0,0,0,Gracia
11655,Vila de Gràcia,104,2,1,310000.0,DOLÇA LLAR,G,999.0,G,999.0,21/02/2022,0,0,1900,0,0,0,0,0,0,1,0,0,0,0,Gracia
11657,Turó de la Peira - Can Peguera,60,3,1,129000.0,SIMURBA,E,156.0,E,30.0,03/01/2022,0,0,1955,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
11658,La Marina-Montjuïc,92,3,2,408000.0,Coldwell Banker  Eminent,C,53.0,B,8.0,17/03/2022,1,0,2021,1,1,0,1,0,0,1,0,0,0,0,Sants Montjuic
11659,Vilapicina - Torre Llobeta,131,4,2,245000.0,"La  Casa Agency, Collblanc",E,133.0,E,33.0,16/03/2022,1,0,1980,1,1,0,0,0,0,1,0,0,0,0,Nou Barris
11661,Sagrada Família,70,3,1,260000.0,TECNOCASA - ESTUDI EIXAMPLE,F,176.0,E,46.0,08/03/2022,0,0,1964,0,0,0,0,0,0,1,0,0,0,0,Eixample
11664,Esquerra Alta de l´Eixample,145,4,2,595000.0,LATER GRUPO INMOBILIARIO,E,165.0,E,34.0,14/03/2022,1,0,1940,1,1,0,0,0,0,1,0,0,0,0,Eixample
11665,Sant Ramon - Maternitat,83,4,2,365000.0,Punto Badal-Bcn,E,121.0,D,45.0,17/03/2022,0,0,1977,0,1,0,0,0,1,1,1,0,0,0,Les Corts
11666,Esquerra Alta de l´Eixample,178,5,2,650000.0,Carlos Torrico - Monapart,E,191.0,E,40.0,05/04/2022,0,0,1940,1,0,0,0,0,0,1,0,0,0,0,Eixample
11667,Gòtic,87,2,2,440000.0,Carlos Torrico - Monapart,E,151.0,E,25.0,05/04/2022,1,0,1840,1,0,0,0,0,1,1,0,0,0,0,Ciutat Vella
11668,Sants,97,2,2,259900.0,DEVEGA REAL ESTATE,D,12.0,D,12.0,06/04/2022,1,0,1926,1,0,0,0,0,0,0,0,0,0,0,Sants Montjuic
11670,Vallcarca - Penitents,117,3,2,639000.0,"Finques Ollé, SL",E,211.0,E,41.0,05/04/2022,0,0,1966,1,1,0,0,0,0,1,0,0,0,0,Gracia
11673,Dreta de l´Eixample,191,3,3,1490000.0,Servio Tulio,G,999.0,G,999.0,11/10/2021,1,0,1900,1,0,0,0,0,1,1,0,0,0,0,Eixample
11675,Badal,68,3,1,239000.0,Estudio Badal Plaza Olivereta,E,167.0,E,60.0,04/04/2022,0,0,1969,1,1,0,0,0,0,1,0,0,0,0,Sants Montjuic
11676,Raval,95,4,1,340000.0,ASSESSORIA I FINQUES FUSTER,G,999.0,G,999.0,07/03/2022,0,0,1890,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
11679,St. Pere - Sta. Caterina - El Born,63,1,1,410000.0,Bergua Gestió Immobles,E,116.0,E,28.0,25/03/2022,1,0,2008,1,1,0,0,0,1,1,0,0,0,0,Ciutat Vella
11681,Carmel,118,3,2,269000.0,Pisos Renova,E,111.0,E,27.0,05/04/2022,1,0,2010,1,1,0,1,0,0,1,0,0,0,0,Horta Guinardo
