,Barri,Area,Habitacions,Lavabos,Preu,Immobiliaria,ConsumoEtiqueta,ConsumokW,EmisionesEtiqueta,Emisioneskg,Data anunci,Aire_acondicionat,Moblat,Any_construccio,Calefaccio,Transport_public_proper,Llar_de_foc,Obra_nova,Piscina_propia,Plaza_parking,Ascensor,Equipamient_esportiu,Jardi_comunitari,Piscina_comunitaria,Vigilancia,Districte
5908,Poblenou,101,3,2,815000.0,Ver pisos - Serveis Immobiliaris,G,999.0,G,999.0,07/04/2022,1,0,2017,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
5910,Hostafrancs,68,3,1,325000.0,LA CASA AGENCY,C,256.0,C,25.0,12/03/2022,0,1,1960,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
5912,St. Pere - Sta. Caterina - El Born,77,2,2,560000.0,Hannan-Piper Real Estate,D,90.0,C,15.0,29/03/2022,1,0,1900,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
5913,Les Corts,75,2,1,285000.0,TRES HABITAT,E,179.0,F,44.0,29/03/2022,1,1,1974,1,0,0,0,0,0,1,0,0,0,0,Les Corts
5915,Navas,50,2,1,174900.0,INMODERNA GSI,G,324.0,G,84.0,01/02/2022,0,0,1961,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
5916,Les Corts,59,2,1,328000.0,CAMBRA DE LA PROPIETAT DE BARCELONA,D,131.0,E,27.0,01/04/2022,1,1,1967,1,0,0,0,0,0,1,0,0,0,0,Les Corts
5917,La Bordeta,60,3,1,250000.0,LA CASA AGENCY - LLEFIA REAL ESTATE,E,234.0,E,34.0,15/03/2022,1,0,1960,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
5918,Diagonal Mar - La Mar Bella,87,4,2,340000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,F,999.0,F,99.0,23/03/2022,0,0,1979,0,0,0,0,0,1,1,0,0,0,0,Sant Marti
5926,Taxonera,65,2,1,169000.0,Barna Advisers,G,999.0,G,999.0,11/03/2022,1,0,1980,0,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
5942,Poble Sec,59,3,1,230000.0,BCN MORE PROPERTIES,E,36.0,E,142.0,24/03/2022,0,0,1914,1,1,0,0,0,0,1,1,0,0,0,Sants Montjuic
5943,Badal,73,3,1,220000.0,LA CASA AGENCY - PUNTO BADAL,E,121.0,E,34.0,06/04/2022,0,0,1970,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
5944,La Sagrera,74,3,1,230000.0,FINQUES LEMI,E,208.0,E,43.0,24/02/2022,0,0,1971,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
5947,Sant Gervasi - Bonanova,90,2,2,398000.0,Los Pisos de Inés,F,203.0,F,43.0,09/02/2022,1,0,1967,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
5948,Sant Martí,65,3,1,219000.0,Inmotarget,E,104.0,D,21.0,16/03/2022,0,0,1967,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
5950,Poble Sec,95,3,1,299000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,123.0,E,23.0,27/03/2022,0,0,1931,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
5951,Esquerra Alta de l´Eixample,78,2,1,455000.0,PROCASA LUXURY HOME,E,142.0,E,37.0,21/03/2022,0,0,1970,0,0,0,0,0,0,1,0,0,0,0,Eixample
5955,Glòries El Parc,74,2,1,315000.0,SELECTIA IMMO,G,408.0,G,86.0,16/03/2022,1,0,1970,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
5956,Sagrada Família,74,3,1,449500.0,LA CASA AGENCY,F,245.0,F,45.0,25/03/2022,0,0,1950,0,0,0,0,0,0,1,0,0,0,0,Eixample
5957,Dreta de l´Eixample,75,1,1,650000.0,BCN ADVISORS,G,999.0,G,999.0,11/03/2022,0,0,1996,0,0,0,0,0,0,1,0,0,0,0,Eixample
5959,Sant Gervasi - Galvany,176,5,2,840000.0,MYLIFE REAL ESTATE,E,124.0,E,26.0,01/04/2022,1,0,1950,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
5960,St. Pere - Sta. Caterina - El Born,95,1,2,875000.0,MYLIFE REAL ESTATE,D,160.0,D,40.0,01/04/2022,1,1,1934,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
5961,Guinardó,69,2,1,249000.0,Inmomaragall 10,G,210.0,E,44.0,22/02/2022,0,0,1955,0,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
5963,Putget - Farró,97,2,2,680000.0,IMPERI ASSESSORS IMMOBILIARIS,G,999.0,G,999.0,14/02/2022,1,0,1972,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
5967,Guinardó,95,1,1,286000.0,CARALT I VALLS ASSOCIATS,D,71.0,C,14.0,01/03/2022,0,0,2009,1,0,0,0,0,1,1,0,0,0,0,Horta Guinardo
5968,Gòtic,72,2,2,590000.0,FINQUES GIRAMON,G,999.0,G,999.0,14/02/2022,1,0,1968,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
5969,Gòtic,62,1,1,230000.0,BRICKBARCELONA,E,162.0,E,27.0,08/02/2022,1,0,1920,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
5970,Pedralbes,60,1,1,425000.0,Nou Estil Espai,G,999.0,G,999.0,28/02/2022,0,0,1963,0,0,0,0,0,0,1,0,0,0,0,Les Corts
5973,Sant Ramon - Maternitat,141,4,2,520000.0,CANAR INMOBILIARIA Y NEGOCIOS,E,186.0,E,38.0,08/04/2022,1,1,1973,1,0,0,0,0,0,1,0,0,0,0,Les Corts
5974,Sagrada Família,87,2,3,449000.0,MATCHOME BARCELONA,E,150.0,E,31.0,01/04/2022,1,0,1931,1,0,0,0,0,0,1,0,0,0,0,Eixample
5975,Esquerra Baixa de l´Eixample,141,4,2,695000.0,MATCHOME BARCELONA,G,287.0,G,60.0,05/04/2022,1,0,1962,1,0,0,0,0,0,1,0,0,0,0,Eixample
5976,La Sagrera,70,3,1,192000.0,MERCAT INMOBILIARI CATALA,E,1.0,E,1.0,18/03/2022,1,0,1965,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
5978,Prosperitat,78,3,1,210000.0,El seu pis,F,245.0,F,45.0,28/03/2022,0,0,1970,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
5979,Besòs - Maresme,72,3,1,139500.0,Habitatges Mir,E,111.0,E,11.0,23/03/2022,0,0,1965,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
5982,Raval,62,2,2,335000.0,ENGEL & VOELKERS,G,218.0,F,45.0,07/04/2022,1,1,1885,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
5983,La Verneda - La Pau,91,4,1,205000.0,"PUNT SAGRADA FAMILIA, S.L.",F,146.0,E,31.0,12/01/2022,0,0,1961,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
5985,Tres Torres,218,4,2,1150000.0,PEDROOCHOA,E,120.0,E,25.0,02/04/2022,1,0,1975,1,0,0,0,0,1,1,0,0,0,0,Sarria Sant Gervasi
5991,Font de la Guatlla,88,3,1,242000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,169.0,E,59.0,12/02/2022,0,0,1955,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
5993,Diagonal Mar - La Mar Bella,135,4,2,990000.0,iad España,D,125.0,D,42.0,08/04/2022,1,0,2002,1,0,0,0,0,1,1,0,0,1,0,Sant Marti
5995,Poble Sec,95,4,2,290000.0,"Asecsa, S.L.",C,95.0,D,32.0,06/04/2022,1,0,1967,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
5998,La Guineueta,63,3,1,240000.0,MATCHOME BARCELONA,E,162.0,E,30.0,07/04/2022,1,0,1967,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
5999,Dreta de l´Eixample,131,3,2,790000.0,La Casa Agency - Punt Sant Cugat,G,999.0,G,99.0,07/04/2022,1,1,1920,1,0,0,0,0,0,1,0,0,0,0,Eixample
6000,Provençals del Poblenou,81,3,1,258000.0,PUNTO BELLVITGE,E,112.0,D,19.0,05/04/2022,1,0,1970,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
6001,Esquerra Alta de l´Eixample,80,2,1,450000.0,MYLIFE REAL ESTATE,E,161.0,E,40.0,01/04/2022,1,0,1963,0,0,0,0,0,0,1,0,0,0,0,Eixample
6002,Vallcarca - Penitents,117,3,2,639000.0,MATCHOME BARCELONA,G,999.0,G,999.0,04/04/2022,1,0,1966,1,0,0,0,0,0,1,0,0,0,0,Gracia
6004,Les Corts,97,4,2,415000.0,ONREALE REAL ESTATE SERVICES,E,178.0,E,36.0,21/03/2022,0,0,1967,1,0,0,0,0,0,1,0,0,0,0,Les Corts
6005,Sant Gervasi - Galvany,172,5,2,1300000.0,Berkshire Hathaway Home Services Barcelona,D,79.0,D,20.0,01/04/2022,1,0,1973,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
6009,Verdun,93,4,2,195000.0,"ESTUDI VIA JULIA, S.L",G,999.0,G,999.0,06/04/2022,1,0,2005,1,0,0,0,0,1,1,0,0,0,0,Nou Barris
6012,Fort Pienc,80,3,3,639823.0,ALL4FLAT,B,30.0,B,7.0,08/04/2022,1,0,2020,1,0,0,0,0,0,1,0,0,0,0,Eixample
6013,La Guineueta,109,3,2,330000.0,MATCHOME BARCELONA,G,221.0,G,57.0,01/04/2022,1,0,1974,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
6014,Pedralbes,166,5,3,790000.0,MACROFINCAS,F,221.0,E,46.0,05/04/2022,0,0,1959,1,0,0,0,0,0,1,0,0,0,0,Les Corts
6015,St. Pere - Sta. Caterina - El Born,88,2,2,473000.0,Berkshire Hathaway Home Services Barcelona,E,121.0,D,20.0,06/04/2022,1,0,1890,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6016,Porta,66,3,1,215000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,167.0,E,64.0,26/02/2022,1,0,1963,0,0,0,0,0,0,1,0,0,0,0,Nou Barris
6017,Verdun,79,2,2,320000.0,"ESTUDI VIA JULIA, S.L",E,148.0,E,36.0,06/04/2022,1,0,2005,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
6023,Dreta de l´Eixample,178,3,2,980000.0,ENGEL & VOELKERS,E,123.0,E,26.0,06/04/2022,1,0,1930,1,0,0,0,0,0,1,0,0,0,0,Eixample
6024,Esquerra Alta de l´Eixample,94,3,2,550000.0,Habita Barcelona,F,212.0,E,44.0,05/04/2022,1,1,1948,1,1,0,0,0,0,1,0,0,0,0,Eixample
6026,Sagrada Família,70,2,1,335000.0,MATCHOME BARCELONA,E,191.0,E,38.0,01/04/2022,1,0,1952,1,0,0,0,0,0,1,0,0,0,0,Eixample
6029,Navas,91,4,2,350000.0,TRES HABITAT,E,133.0,E,27.0,29/03/2022,1,0,1981,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6031,Raval,105,2,1,425000.0,MYLIFE Real Estate,F,230.0,E,45.0,09/04/2022,1,0,1850,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6033,Besòs - Maresme,76,3,1,209000.0,LA CASA AGENCY,G,999.0,G,99.0,02/03/2022,0,0,1959,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
6034,Fort Pienc,98,3,2,607128.0,ALL4FLAT,B,30.0,B,7.0,08/04/2022,1,0,2020,1,0,0,0,0,0,1,0,0,0,0,Eixample
6035,Porta,83,4,1,265000.0,SELECTIA IMMO,E,188.0,E,34.0,01/12/2021,1,0,1966,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
6038,Dreta de l´Eixample,102,2,2,1117800.0,GUIMAR CONSULTING,E,187.0,E,35.0,06/04/2022,0,0,2006,0,0,0,0,0,1,1,0,0,0,0,Eixample
6040,La Verneda - La Pau,92,4,1,205000.0,LA CASA AGENCY,G,999.0,G,99.0,25/03/2022,0,0,1963,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6044,Navas,109,4,2,350000.0,FINQUES MUR,E,133.0,E,27.0,28/03/2022,1,0,1981,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6045,Raval,87,2,1,340000.0,Metis Assets,E,145.0,E,25.0,06/04/2022,1,0,1998,1,1,0,0,0,0,1,0,0,0,0,Ciutat Vella
6046,Raval,55,3,1,249000.0,La Casa Agency - Punt Sant Cugat,E,29.0,F,223.0,29/03/2022,1,0,1929,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6047,Poble Sec,55,3,1,249000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,164.0,E,34.0,29/03/2022,1,0,1929,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6051,Esquerra Alta de l´Eixample,102,3,2,660000.0,SAM GRUPO M,G,999.0,G,999.0,21/01/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Eixample
6053,La Bordeta,73,3,1,210000.0,LA CASA AGENCY - DIAGONAL MAR REAL ESTATE,F,226.0,F,56.0,16/03/2022,0,0,1964,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6055,Sant Antoni,67,3,1,308000.0,REVEL,E,160.0,E,39.0,22/02/2022,0,1,1920,0,0,0,0,0,0,1,0,0,0,0,Eixample
6056,Sant Gervasi - Galvany,211,5,3,1120000.0,Sant Just Real Estate,G,999.0,G,999.0,21/03/2022,1,0,1935,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
6067,La Sagrera,59,3,2,211000.0,DOLÇA LLAR,G,999.0,G,999.0,11/03/2022,1,0,1961,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6072,La Verneda - La Pau,90,3,1,220000.0,La Casa Agency - Punt Sant Pau,G,999.0,G,99.0,28/03/2022,1,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6073,Baix Guinardó,95,3,2,330000.0,Inter-hogar,E,69.0,E,27.0,07/04/2022,0,0,1955,1,0,0,0,0,0,1,0,0,0,0,Horta Guinardo
6074,La Verneda - La Pau,88,4,1,200000.0,"PUNT SAGRADA FAMILIA, S.L.",E,201.0,E,51.0,20/01/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6075,Hostafrancs,68,3,1,325000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,C,256.0,C,25.0,19/03/2022,0,0,1960,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6077,Hostafrancs,68,3,1,325000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,C,256.0,C,25.0,18/03/2022,0,0,1960,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6078,Sagrada Família,100,5,2,390000.0,"GESTIO INMOBILIARIA TURO, S.L.",E,107.0,E,22.0,09/04/2022,0,0,1966,1,0,0,0,0,0,1,0,0,0,0,Eixample
6079,La Verneda - La Pau,92,3,1,215000.0,LA CASA AGENCY - PUNTO HOSPITALET,G,999.0,G,999.0,01/04/2022,1,0,1970,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
6080,Vallcarca - Penitents,65,2,1,220000.0,OpenLLAR Serveis Immobiliaris,E,153.0,E,31.0,09/04/2022,0,0,1970,1,0,0,0,0,0,1,0,0,0,0,Gracia
6085,Raval,100,5,1,339000.0,FINQUES RODÉS,E,124.0,E,25.0,01/03/2022,0,0,1900,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6086,Raval,100,5,1,339000.0,HOMIM,E,124.0,E,25.0,08/03/2022,0,0,1900,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6087,Raval,110,5,1,358000.0,GAND HOUSE,E,124.0,E,25.0,26/01/2022,0,0,1900,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6088,Provençals del Poblenou,164,4,3,890000.0,LA CASA AGENCY,G,999.0,G,999.0,25/03/2022,0,0,2018,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6089,Les Corts,67,2,1,285000.0,EUROFINCAS,E,179.0,F,44.0,16/03/2022,1,0,1974,1,0,0,0,0,0,1,0,0,0,0,Les Corts
6091,Esquerra Alta de l´Eixample,94,4,1,440000.0,FINQUES FEMAR,E,132.0,E,27.0,15/12/2021,1,0,1900,0,0,0,0,0,0,1,0,0,0,0,Eixample
6092,Ciutat Meridiana,66,2,1,110825.0,Finques Santa Perpètua,E,163.0,E,34.0,01/03/2022,1,0,1967,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
6093,Turó de la Peira - Can Peguera,64,3,1,120000.0,FIS-STATION REAL ESTATE,G,999.0,G,999.0,07/04/2022,0,0,1957,0,1,0,0,0,0,0,0,0,0,0,Nou Barris
6095,Esquerra Alta de l´Eixample,71,2,1,545000.0,Berkshire Hathaway Home Services Barcelona,F,120.0,F,24.0,07/04/2022,1,0,2010,1,0,0,0,0,0,1,0,0,0,0,Eixample
6096,La Salut,60,1,1,257000.0,ENGEL & VOELKERS,E,223.0,D,42.0,04/04/2022,1,1,1968,1,0,0,0,0,0,1,0,0,0,0,Gracia
6097,St. Pere - Sta. Caterina - El Born,94,3,2,395000.0,ENGEL & VOELKERS,E,211.0,E,44.0,08/04/2022,1,0,1936,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6099,St. Pere - Sta. Caterina - El Born,119,2,1,375000.0,HOMIM,D,96.0,D,20.0,01/03/2022,0,0,1900,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6100,Camp de l´Arpa,133,2,2,622041.0,MYLIFE REAL ESTATE,D,120.0,D,50.0,01/04/2022,1,0,2021,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
6101,Gòtic,149,2,2,790000.0,Withfor,E,125.0,E,25.0,16/02/2022,1,0,1968,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6105,Esquerra Baixa de l´Eixample,98,3,1,450000.0,ICL GRUP,D,77.0,D,77.0,04/04/2022,1,0,1950,1,0,0,0,0,0,1,0,0,0,0,Eixample
6108,Gòtic,120,3,1,495000.0,Yrmasa Inversiones Inmobiliarias,E,100.0,E,100.0,07/04/2022,0,0,1956,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6109,Prosperitat,62,3,1,159000.0,Jordi Pallares,G,999.0,G,999.0,22/07/2021,0,0,1966,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
6110,Gòtic,80,1,1,185000.0,Mayorcasa,G,412.0,G,69.0,17/03/2022,1,0,1850,0,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6111,Sant Antoni,58,2,1,339000.0,Gallart Real Estate s.l,E,202.0,E,34.0,04/04/2022,1,1,1900,1,0,0,0,0,0,1,0,0,0,0,Eixample
6114,Esquerra Baixa de l´Eixample,81,4,2,300000.0,Asi Serveis Immobiliaris,G,999.0,G,999.0,07/04/2022,0,0,1965,0,0,0,0,0,0,1,0,0,0,0,Eixample
6117,Sants,83,4,2,365000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,134.0,E,34.0,23/03/2022,1,0,1977,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6119,Sant Gervasi - Galvany,146,3,2,685000.0,Hermes & Mathew,E,126.0,E,26.0,25/03/2022,1,0,1940,1,1,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
6121,Font de la Guatlla,75,3,1,280000.0,LA CASA AGENCY,E,123.0,E,23.0,04/02/2022,0,0,1943,0,0,0,0,0,1,1,0,0,0,0,Sants Montjuic
6122,Esquerra Alta de l´Eixample,100,3,2,680000.0,ENGEL & VOELKERS,E,192.0,E,32.0,31/03/2022,1,0,1910,1,0,0,0,0,0,1,0,0,0,0,Eixample
6125,Badal,82,3,1,380000.0,MACROFINCAS,G,999.0,G,999.0,05/04/2022,1,0,1972,0,0,0,0,0,1,1,0,0,0,0,Sants Montjuic
6126,La Verneda - La Pau,92,4,1,205000.0,LA CASA AGENCY,G,999.0,G,999.0,04/02/2022,0,0,1963,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6127,Sagrada Família,110,3,2,425000.0,La Casa Agency Premium Sant Cugat,E,154.0,E,28.0,05/04/2022,0,1,1936,1,0,0,0,0,0,1,0,0,0,0,Eixample
6128,La Verneda - La Pau,70,3,1,210000.0,LA CASA AGENCY,G,999.0,G,999.0,24/03/2022,0,0,1985,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6134,St. Pere - Sta. Caterina - El Born,88,2,2,795000.0,Berkshire Hathaway Home Services Barcelona,C,45.0,B,8.0,04/04/2022,1,0,1934,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6142,La Bordeta,68,2,1,249000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,243.0,E,43.0,11/02/2022,1,0,2004,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6143,Esquerra Baixa de l´Eixample,81,2,2,440000.0,"ESTUDI VIA JULIA, S.L",E,149.0,E,31.0,06/04/2022,1,0,1953,1,0,0,0,0,0,1,0,0,0,0,Eixample
6148,La Marina-Montjuïc,86,3,2,425000.0,HOUSE TIME,G,999.0,G,999.0,08/04/2022,1,0,2006,1,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6174,La Verneda - La Pau,60,3,1,159000.0,LA CASA AGENCY - ESTUDIO BUENOS AIRES,E,165.0,E,34.0,23/03/2022,0,0,1963,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6178,St. Pere - Sta. Caterina - El Born,88,2,2,950000.0,Berkshire Hathaway Home Services Barcelona,C,45.0,B,8.0,01/04/2022,1,0,1934,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6180,Dreta de l´Eixample,131,3,2,790000.0,La Casa Agency Premium Sant Cugat,G,999.0,G,99.0,07/04/2022,1,1,1920,1,0,0,0,0,0,1,0,0,0,0,Eixample
6184,Dreta de l´Eixample,180,3,2,895000.0,Duran Carasso Barcelona Gestion Inmobiliaria,E,134.0,E,27.0,06/04/2022,1,0,1986,1,0,0,0,0,0,1,0,0,0,0,Eixample
6187,Esquerra Alta de l´Eixample,84,4,1,380000.0,merkapiso.com,G,256.0,G,23.0,02/04/2022,0,0,1959,1,0,0,0,0,0,1,0,0,0,0,Eixample
6191,St. Pere - Sta. Caterina - El Born,118,2,2,865000.0,Berkshire Hathaway Home Services Barcelona,C,45.0,B,8.0,04/04/2022,1,0,1934,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6196,St. Pere - Sta. Caterina - El Born,116,3,2,1050000.0,ENGEL & VOELKERS,E,127.0,D,999.0,01/04/2022,0,0,1850,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6198,St. Pere - Sta. Caterina - El Born,116,3,2,950000.0,ENGEL & VOELKERS,E,127.0,D,999.0,01/04/2022,0,0,1850,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6202,Poblenou,80,3,1,350000.0,Ver pisos - Serveis Immobiliaris,G,999.0,G,999.0,07/04/2022,1,0,1970,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6205,Dreta de l´Eixample,121,3,2,825000.0,GDH Properties,C,43.0,B,8.0,25/03/2022,1,0,2021,1,0,0,0,0,0,1,0,0,0,0,Eixample
6209,St. Pere - Sta. Caterina - El Born,99,3,1,389000.0,iad España,E,129.0,E,25.0,08/04/2022,1,0,2000,1,0,0,0,0,0,1,0,0,0,0,Ciutat Vella
6213,Badal,72,3,1,215000.0,Finques Navarrete,E,162.0,E,34.0,09/04/2022,0,0,1956,1,1,0,0,0,0,0,0,0,0,0,Sants Montjuic
6216,Horta,96,4,1,240000.0,BCN Living,F,240.0,E,47.0,04/04/2022,1,0,1976,1,1,0,0,0,1,0,0,1,0,0,Horta Guinardo
6218,Sagrada Família,153,5,1,496000.0,solarte Real Estate,G,123.0,G,66.0,03/04/2022,0,0,1945,1,0,0,0,0,0,1,0,0,0,0,Eixample
6222,Sagrada Família,92,2,1,360000.0,Inter-hogar,E,250.0,E,50.0,07/04/2022,0,0,1949,1,0,0,0,0,0,1,0,0,0,0,Eixample
6223,Dreta de l´Eixample,88,3,2,560000.0,TORIL MOLLER,G,999.0,G,999.0,08/04/2022,0,0,1937,1,0,0,0,0,0,1,0,0,0,0,Eixample
6224,Porta,79,3,1,227000.0,Tu Solución Inmobiliaria (Activa),F,227.0,E,48.0,08/04/2022,1,0,1956,1,0,0,0,0,0,1,0,0,0,0,Nou Barris
6227,Glòries El Parc,74,2,1,310000.0,ONREALE REAL ESTATE SERVICES,G,408.0,G,86.0,26/03/2022,1,0,1970,1,0,0,0,0,0,1,0,0,0,0,Sant Marti
6228,Navas,80,4,1,239000.0,Diaz De Casas,G,999.0,G,999.0,07/04/2022,0,0,1965,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6229,Poble Sec,55,3,1,249000.0,La Casa Agency - Punt Sant Pau,E,29.0,F,223.0,22/03/2022,1,0,1929,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6230,Poble Sec,55,3,1,249000.0,"PUNT SAGRADA FAMILIA, S.L.",E,49.0,F,223.0,23/03/2022,1,0,1929,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6231,Sant Andreu,58,2,1,165000.0,CENTURY 21 BZ,F,234.0,E,43.0,29/03/2022,0,0,1979,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6236,Esquerra Alta de l´Eixample,178,4,2,650000.0,MATCHOME BARCELONA,E,191.0,E,40.0,01/04/2022,1,0,1940,1,0,0,0,0,0,1,0,0,0,0,Eixample
6237,Sant Antoni,104,4,2,499000.0,MATCHOME BARCELONA,E,153.0,E,31.0,05/04/2022,1,0,1977,1,0,0,0,0,0,1,0,0,0,0,Eixample
6238,Sants,73,3,1,210000.0,LA CASA GRUP,E,224.0,F,35.0,18/03/2022,0,0,1964,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6240,Sagrada Família,66,2,1,290000.0,ENGEL & VOELKERS,F,232.0,E,39.0,05/04/2022,1,0,1998,1,0,0,0,0,0,1,0,0,0,0,Eixample
6241,Sant Martí,104,3,1,340000.0,LA CASA AGENCY,G,999.0,G,999.0,25/03/2022,0,0,1983,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6252,La Sagrera,75,3,1,340000.0,La Casa Agency - Punt Sant Cugat,E,48.0,F,238.0,06/04/2022,1,0,1951,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6254,La Sagrera,74,3,1,230000.0,INMODERNA GSI,E,208.0,E,43.0,22/02/2022,0,0,1971,0,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6255,Sant Gervasi - Bonanova,65,3,1,280000.0,Frigurama Inmuebles,F,145.0,F,48.0,15/03/2022,1,0,1936,1,1,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
6256,Navas,109,4,2,350000.0,Inmotarget,E,133.0,E,27.0,10/03/2022,1,0,1981,1,0,0,0,0,0,1,0,0,0,0,Sant Andreu
6257,La Verneda - La Pau,88,4,1,200000.0,LA CASA AGENCY,G,999.0,G,999.0,21/03/2022,0,0,1975,0,0,0,0,0,0,1,0,0,0,0,Sant Marti
6258,Camp d´en Grassot - Gràcia N.,56,2,1,265000.0,URBENIA,F,195.0,G,50.0,16/03/2022,0,0,1932,0,0,0,0,0,0,1,0,0,0,0,Gracia
6259,Hostafrancs,67,3,1,365000.0,La Casa Agency,D,221.0,D,25.0,29/03/2022,0,0,2006,0,0,0,0,0,0,1,0,0,0,0,Sants Montjuic
6263,Putget - Farró,208,3,3,1195000.0,ENGEL & VOELKERS,G,241.0,F,50.0,03/04/2022,1,0,1998,1,0,0,0,0,0,1,0,0,0,0,Sarria Sant Gervasi
